nodeA	nodeB	weight	source	version
ERBB2	EGFR	0.999	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	GNAS	0.718	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	IDH2	0.72	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	SMAD4	0.735	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	IDH1	0.795	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	BRCA1	0.8	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	RET	0.826	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	NF2	0.844	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	NF1	0.847	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	MYC	0.875	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	CDKN2A	0.91	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	NRAS	0.991	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	MET	0.996	STRING_disease_fallback	STRING_v12.0_fallback
EGFR	PTPN11	0.999	STRING_disease_fallback	STRING_v12.0_fallback
ATM	NF1	0.732	STRING_disease_fallback	STRING_v12.0_fallback
ATM	BRAF	0.778	STRING_disease_fallback	STRING_v12.0_fallback
ATM	SMARCA4	0.786	STRING_disease_fallback	STRING_v12.0_fallback
ATM	POLE	0.794	STRING_disease_fallback	STRING_v12.0_fallback
ATM	TERT	0.825	STRING_disease_fallback	STRING_v12.0_fallback
ATM	CDKN2A	0.847	STRING_disease_fallback	STRING_v12.0_fallback
ATM	MYC	0.871	STRING_disease_fallback	STRING_v12.0_fallback
ATM	STK11	0.89	STRING_disease_fallback	STRING_v12.0_fallback
ATM	BRCA2	0.995	STRING_disease_fallback	STRING_v12.0_fallback
ATM	BRCA1	0.999	STRING_disease_fallback	STRING_v12.0_fallback
ATM	CHEK2	0.999	STRING_disease_fallback	STRING_v12.0_fallback
KMT2D	ARID1A	0.813	STRING_disease_fallback	STRING_v12.0_fallback
TERT	ARID1A	0.781	STRING_disease_fallback	STRING_v12.0_fallback
TERT	IDH1	0.781	STRING_disease_fallback	STRING_v12.0_fallback
TERT	BRAF	0.815	STRING_disease_fallback	STRING_v12.0_fallback
TERT	CDKN2A	0.817	STRING_disease_fallback	STRING_v12.0_fallback
TERT	MYC	0.92	STRING_disease_fallback	STRING_v12.0_fallback
TERT	SMARCA4	0.99	STRING_disease_fallback	STRING_v12.0_fallback
MET	PTPN11	0.927	STRING_disease_fallback	STRING_v12.0_fallback
MET	NRAS	0.966	STRING_disease_fallback	STRING_v12.0_fallback
ARID1A	BRAF	0.702	STRING_disease_fallback	STRING_v12.0_fallback
ARID1A	CDKN2A	0.72	STRING_disease_fallback	STRING_v12.0_fallback
ARID1A	BRCA1	0.801	STRING_disease_fallback	STRING_v12.0_fallback
ARID1A	SMARCA4	0.999	STRING_disease_fallback	STRING_v12.0_fallback
ARID1A	SMARCB1	0.999	STRING_disease_fallback	STRING_v12.0_fallback
POLE	CHEK2	0.778	STRING_disease_fallback	STRING_v12.0_fallback
POLE	BRCA2	0.849	STRING_disease_fallback	STRING_v12.0_fallback
POLE	BRCA1	0.919	STRING_disease_fallback	STRING_v12.0_fallback
STK11	ALK	0.718	STRING_disease_fallback	STRING_v12.0_fallback
STK11	NF1	0.728	STRING_disease_fallback	STRING_v12.0_fallback
STK11	BRCA1	0.74	STRING_disease_fallback	STRING_v12.0_fallback
STK11	MYC	0.774	STRING_disease_fallback	STRING_v12.0_fallback
STK11	CDKN2A	0.824	STRING_disease_fallback	STRING_v12.0_fallback
STK11	BRCA2	0.83	STRING_disease_fallback	STRING_v12.0_fallback
STK11	SMAD4	0.847	STRING_disease_fallback	STRING_v12.0_fallback
STK11	SMARCA4	0.92	STRING_disease_fallback	STRING_v12.0_fallback
IDH2	BRAF	0.731	STRING_disease_fallback	STRING_v12.0_fallback
IDH2	NRAS	0.768	STRING_disease_fallback	STRING_v12.0_fallback
IDH2	IDH1	0.961	STRING_disease_fallback	STRING_v12.0_fallback
SMARCB1	BRCA1	0.709	STRING_disease_fallback	STRING_v12.0_fallback
SMARCB1	NF2	0.83	STRING_disease_fallback	STRING_v12.0_fallback
SMARCB1	MYC	0.906	STRING_disease_fallback	STRING_v12.0_fallback
SMARCB1	SMARCA4	0.999	STRING_disease_fallback	STRING_v12.0_fallback
SMAD4	BRAF	0.756	STRING_disease_fallback	STRING_v12.0_fallback
SMAD4	CDKN2A	0.851	STRING_disease_fallback	STRING_v12.0_fallback
SMAD4	NF1	0.873	STRING_disease_fallback	STRING_v12.0_fallback
SMAD4	MYC	0.931	STRING_disease_fallback	STRING_v12.0_fallback
SMARCA4	ALK	0.736	STRING_disease_fallback	STRING_v12.0_fallback
SMARCA4	NF1	0.751	STRING_disease_fallback	STRING_v12.0_fallback
SMARCA4	CDKN2A	0.811	STRING_disease_fallback	STRING_v12.0_fallback
SMARCA4	MYC	0.974	STRING_disease_fallback	STRING_v12.0_fallback
SMARCA4	BRCA1	0.983	STRING_disease_fallback	STRING_v12.0_fallback
NF2	NF1	0.97	STRING_disease_fallback	STRING_v12.0_fallback
RET	BRCA2	0.705	STRING_disease_fallback	STRING_v12.0_fallback
RET	NF1	0.839	STRING_disease_fallback	STRING_v12.0_fallback
RET	NRAS	0.868	STRING_disease_fallback	STRING_v12.0_fallback
RET	PTPN11	0.871	STRING_disease_fallback	STRING_v12.0_fallback
NF1	IDH1	0.75	STRING_disease_fallback	STRING_v12.0_fallback
NF1	BRCA2	0.75	STRING_disease_fallback	STRING_v12.0_fallback
NF1	CDKN2A	0.772	STRING_disease_fallback	STRING_v12.0_fallback
NF1	PTPN11	0.852	STRING_disease_fallback	STRING_v12.0_fallback
NF1	BRCA1	0.876	STRING_disease_fallback	STRING_v12.0_fallback
NF1	BRAF	0.903	STRING_disease_fallback	STRING_v12.0_fallback
NF1	NRAS	0.994	STRING_disease_fallback	STRING_v12.0_fallback
ROS1	NRAS	0.736	STRING_disease_fallback	STRING_v12.0_fallback
NRAS	GNAS	0.707	STRING_disease_fallback	STRING_v12.0_fallback
NRAS	IDH1	0.777	STRING_disease_fallback	STRING_v12.0_fallback
NRAS	PTPN11	0.952	STRING_disease_fallback	STRING_v12.0_fallback
NRAS	CDKN2A	0.984	STRING_disease_fallback	STRING_v12.0_fallback
NRAS	ALK	0.986	STRING_disease_fallback	STRING_v12.0_fallback
NRAS	BRAF	0.999	STRING_disease_fallback	STRING_v12.0_fallback
GNAS	BRAF	0.761	STRING_disease_fallback	STRING_v12.0_fallback
BRCA2	BRAF	0.721	STRING_disease_fallback	STRING_v12.0_fallback
BRCA2	MYC	0.759	STRING_disease_fallback	STRING_v12.0_fallback
BRCA2	CDKN2A	0.806	STRING_disease_fallback	STRING_v12.0_fallback
BRCA2	CHEK2	0.985	STRING_disease_fallback	STRING_v12.0_fallback
BRCA2	BRCA1	0.999	STRING_disease_fallback	STRING_v12.0_fallback
CHEK2	CDKN2A	0.758	STRING_disease_fallback	STRING_v12.0_fallback
CHEK2	BRCA1	0.999	STRING_disease_fallback	STRING_v12.0_fallback
ALK	PTPN11	0.79	STRING_disease_fallback	STRING_v12.0_fallback
ALK	MYC	0.896	STRING_disease_fallback	STRING_v12.0_fallback
IDH1	MYC	0.74	STRING_disease_fallback	STRING_v12.0_fallback
IDH1	CDKN2A	0.744	STRING_disease_fallback	STRING_v12.0_fallback
IDH1	BRAF	0.799	STRING_disease_fallback	STRING_v12.0_fallback
CDKN2A	BRCA1	0.832	STRING_disease_fallback	STRING_v12.0_fallback
CDKN2A	BRAF	0.892	STRING_disease_fallback	STRING_v12.0_fallback
CDKN2A	MYC	0.998	STRING_disease_fallback	STRING_v12.0_fallback
BRCA1	MYC	0.999	STRING_disease_fallback	STRING_v12.0_fallback
BRAF	MYC	0.722	STRING_disease_fallback	STRING_v12.0_fallback
BRAF	PTPN11	0.862	STRING_disease_fallback	STRING_v12.0_fallback
