nodeA	nodeB	weight	source	evidence	version
ERBB2	NTRK1	0.751	STRING_Local	combined_score	v12.0
ERBB2	MYC	0.886	STRING_Local	combined_score	v12.0
ERBB2	ATM	0.748	STRING_Local	combined_score	v12.0
ERBB2	HRAS	0.907	STRING_Local	combined_score	v12.0
ERBB2	BRCA1	0.918	STRING_Local	combined_score	v12.0
ERBB2	MET	0.847	STRING_Local	combined_score	v12.0
ERBB2	PIK3CA	0.992	STRING_Local	combined_score	v12.0
ERBB2	TP53	0.935	STRING_Local	combined_score	v12.0
ERBB2	SMAD4	0.708	STRING_Local	combined_score	v12.0
ERBB2	ALK	0.775	STRING_Local	combined_score	v12.0
ERBB2	BRCA2	0.873	STRING_Local	combined_score	v12.0
ERBB2	NF1	0.771	STRING_Local	combined_score	v12.0
EGFR	PTPN11	0.999	STRING_Local	combined_score	v12.0
EGFR	GNAS	0.718	STRING_Local	combined_score	v12.0
EGFR	IDH2	0.72	STRING_Local	combined_score	v12.0
EGFR	CCND1	0.841	STRING_Local	combined_score	v12.0
EGFR	NRAS	0.991	STRING_Local	combined_score	v12.0
EGFR	PTEN	0.969	STRING_Local	combined_score	v12.0
EGFR	CDKN2A	0.91	STRING_Local	combined_score	v12.0
EGFR	MDM2	0.897	STRING_Local	combined_score	v12.0
EGFR	RET	0.826	STRING_Local	combined_score	v12.0
EGFR	ERBB2	0.999	STRING_Local	combined_score	v12.0
EGFR	KRAS	0.997	STRING_Local	combined_score	v12.0
EGFR	NF2	0.844	STRING_Local	combined_score	v12.0
EGFR	IDH1	0.795	STRING_Local	combined_score	v12.0
EGFR	MET	0.996	STRING_Local	combined_score	v12.0
EGFR	BRCA1	0.8	STRING_Local	combined_score	v12.0
EGFR	PIK3CA	0.999	STRING_Local	combined_score	v12.0
EGFR	MYC	0.875	STRING_Local	combined_score	v12.0
EGFR	HRAS	0.994	STRING_Local	combined_score	v12.0
EGFR	NF1	0.847	STRING_Local	combined_score	v12.0
EGFR	SMAD4	0.735	STRING_Local	combined_score	v12.0
EGFR	TP53	0.943	STRING_Local	combined_score	v12.0
ATM	BRCA1	0.999	STRING_Local	combined_score	v12.0
